
2022-11-13 05:26:34: segmentation datasets process:  alg_name=WassDPC(out), shape=(2310, 19), n_clusters=7, k_neighbors=95, nmi=0.6041, ari=0.2760, ami=0.6022, time_cost=111.0982s

2022-11-13 05:28:30: segmentation datasets process:  alg_name=WassDPC(out), shape=(2310, 19), n_clusters=7, k_neighbors=99, nmi=0.6041, ari=0.2760, ami=0.6022, time_cost=115.7928s

2022-11-13 05:30:36: segmentation datasets process:  alg_name=WassDPC(out), shape=(2310, 19), n_clusters=7, k_neighbors=102, nmi=0.7162, ari=0.4671, ami=0.7149, time_cost=125.3718s

2022-11-13 05:32:32: segmentation datasets process:  alg_name=WassDPC(out), shape=(2310, 19), n_clusters=7, k_neighbors=105, nmi=0.7162, ari=0.4671, ami=0.7149, time_cost=116.4994s

2022-11-13 05:34:40: segmentation datasets process:  alg_name=WassDPC(out), shape=(2310, 19), n_clusters=7, k_neighbors=108, nmi=0.7183, ari=0.4687, ami=0.7170, time_cost=127.6180s

2022-11-13 05:36:57: segmentation datasets process:  alg_name=WassDPC(out), shape=(2310, 19), n_clusters=7, k_neighbors=112, nmi=0.7183, ari=0.4687, ami=0.7170, time_cost=137.0482s

2022-11-13 05:39:06: segmentation datasets process:  alg_name=WassDPC(out), shape=(2310, 19), n_clusters=7, k_neighbors=115, nmi=0.7183, ari=0.4687, ami=0.7170, time_cost=128.8858s

2022-11-13 05:41:29: segmentation datasets process:  alg_name=WassDPC(out), shape=(2310, 19), n_clusters=7, k_neighbors=118, nmi=0.7183, ari=0.4687, ami=0.7170, time_cost=143.4775s

2022-11-13 05:41:29: segmentation datasets process:  alg_name=WassDPC(out), shape=(2310, 19), n_clusters=7, k_neighbors=122, nmi=0.7138, ari=0.5687, ami=0.7126, time_cost=0.0675s

2022-11-13 05:41:29: segmentation datasets process:  alg_name=WassDPC(out), shape=(2310, 19), n_clusters=7, k_neighbors=125, nmi=0.7139, ari=0.5689, ami=0.7127, time_cost=0.0680s

2022-11-13 05:41:29: segmentation datasets process:  alg_name=WassDPC(out), shape=(2310, 19), n_clusters=7, k_neighbors=128, nmi=0.7126, ari=0.5668, ami=0.7114, time_cost=0.0673s

2022-11-13 05:41:29: segmentation datasets process:  alg_name=WassDPC(out), shape=(2310, 19), n_clusters=7, k_neighbors=132, nmi=0.7126, ari=0.5668, ami=0.7114, time_cost=0.0676s

2022-11-13 05:41:30: segmentation datasets process:  alg_name=WassDPC(out), shape=(2310, 19), n_clusters=7, k_neighbors=135, nmi=0.7126, ari=0.5668, ami=0.7114, time_cost=0.0681s

2022-11-13 05:41:30: segmentation datasets process:  alg_name=WassDPC(out), shape=(2310, 19), n_clusters=7, k_neighbors=138, nmi=0.7126, ari=0.5668, ami=0.7114, time_cost=0.0686s

2022-11-13 05:41:30: segmentation datasets process:  alg_name=WassDPC(out), shape=(2310, 19), n_clusters=7, k_neighbors=141, nmi=0.7126, ari=0.5668, ami=0.7114, time_cost=0.0692s

2022-11-13 05:41:30: segmentation datasets process:  alg_name=WassDPC(out), shape=(2310, 19), n_clusters=7, k_neighbors=145, nmi=0.7126, ari=0.5668, ami=0.7114, time_cost=0.0684s

2022-11-13 05:44:32: segmentation datasets process:  alg_name=WassDPC(out), shape=(2310, 19), n_clusters=7, k_neighbors=148, nmi=0.7162, ari=0.4671, ami=0.7149, time_cost=182.5808s

2022-11-13 05:47:25: segmentation datasets process:  alg_name=WassDPC(out), shape=(2310, 19), n_clusters=7, k_neighbors=151, nmi=0.7162, ari=0.4671, ami=0.7149, time_cost=173.1247s

2022-11-13 05:50:52: segmentation datasets process:  alg_name=WassDPC(out), shape=(2310, 19), n_clusters=7, k_neighbors=155, nmi=0.7183, ari=0.4687, ami=0.7170, time_cost=206.1965s

2022-11-13 05:54:08: segmentation datasets process:  alg_name=WassDPC(out), shape=(2310, 19), n_clusters=7, k_neighbors=158, nmi=0.7183, ari=0.4687, ami=0.7170, time_cost=196.6306s

2022-11-13 05:54:08: segmentation datasets process:  alg_name=WassDPC(out), shape=(2310, 19), n_clusters=7, k_neighbors=161, nmi=0.6718, ari=0.5028, ami=0.6704, time_cost=0.0685s

2022-11-13 05:54:08: segmentation datasets process:  alg_name=WassDPC(out), shape=(2310, 19), n_clusters=7, k_neighbors=165, nmi=0.6718, ari=0.5028, ami=0.6704, time_cost=0.0685s

2022-11-13 05:55:42: segmentation datasets process:  alg_name=WassDPC(out_out), shape=(2310, 19), n_clusters=7, k_neighbors=9, nmi=0.5614, ari=0.2452, ami=0.5590, time_cost=50.4877s

2022-11-13 05:56:31: segmentation datasets process:  alg_name=WassDPC(out_out), shape=(2310, 19), n_clusters=7, k_neighbors=13, nmi=0.6254, ari=0.4958, ami=0.6237, time_cost=48.6359s

