
2022-12-09 03:28:40: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=85, n_clusters=15, nmi=0.9421, ari=0.9307, ami=0.9417, time_cost=0.9310s

2022-12-09 03:28:41: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=86, n_clusters=15, nmi=0.9416, ari=0.9264, ami=0.9412, time_cost=0.9058s

2022-12-09 03:28:41: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=87, n_clusters=15, nmi=0.9362, ari=0.9159, ami=0.9357, time_cost=0.9069s

2022-12-09 03:28:43: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=88, n_clusters=15, nmi=0.9410, ari=0.9283, ami=0.9405, time_cost=1.2003s

2022-12-09 03:28:44: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=89, n_clusters=15, nmi=0.9380, ari=0.9209, ami=0.9375, time_cost=0.9223s

2022-12-09 03:28:45: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=90, n_clusters=15, nmi=0.9214, ari=0.8766, ami=0.9209, time_cost=0.9149s

2022-12-09 03:28:46: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=91, n_clusters=15, nmi=0.9413, ari=0.9267, ami=0.9409, time_cost=0.9117s

2022-12-09 03:28:46: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=92, n_clusters=15, nmi=0.9202, ari=0.8557, ami=0.9196, time_cost=0.8994s

2022-12-09 03:28:47: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=93, n_clusters=15, nmi=0.9427, ari=0.9301, ami=0.9422, time_cost=0.9342s

2022-12-09 03:28:48: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=94, n_clusters=15, nmi=0.9433, ari=0.9289, ami=0.9429, time_cost=1.0275s

2022-12-09 03:28:49: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=95, n_clusters=15, nmi=0.9377, ari=0.9232, ami=0.9372, time_cost=0.9024s

2022-12-09 03:28:50: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=96, n_clusters=15, nmi=0.9389, ari=0.9257, ami=0.9385, time_cost=0.9159s

2022-12-09 03:28:51: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=97, n_clusters=15, nmi=0.9338, ari=0.9151, ami=0.9333, time_cost=0.9097s

2022-12-09 03:28:52: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=98, n_clusters=15, nmi=0.9449, ari=0.9331, ami=0.9445, time_cost=0.9286s

2022-12-09 03:28:53: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=99, n_clusters=15, nmi=0.9369, ari=0.9204, ami=0.9365, time_cost=0.9195s

2022-12-09 03:28:54: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=100, n_clusters=15, nmi=0.9365, ari=0.9131, ami=0.9360, time_cost=0.9149s

2022-12-09 03:28:55: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=101, n_clusters=15, nmi=0.9418, ari=0.9297, ami=0.9414, time_cost=1.0259s

2022-12-09 03:28:56: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=102, n_clusters=15, nmi=0.9263, ari=0.8948, ami=0.9257, time_cost=0.9064s

2022-12-09 03:28:57: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=103, n_clusters=15, nmi=0.9356, ari=0.9164, ami=0.9351, time_cost=0.9023s

2022-12-09 03:28:58: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=104, n_clusters=15, nmi=0.9174, ari=0.8830, ami=0.9168, time_cost=0.9112s

2022-12-09 03:28:59: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=105, n_clusters=15, nmi=0.9353, ari=0.9207, ami=0.9348, time_cost=0.9070s

2022-12-09 03:29:00: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=106, n_clusters=15, nmi=0.9403, ari=0.9279, ami=0.9399, time_cost=0.9008s

2022-12-09 03:29:01: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=107, n_clusters=15, nmi=0.9390, ari=0.9230, ami=0.9385, time_cost=1.0313s

2022-12-09 03:29:02: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=108, n_clusters=15, nmi=0.9355, ari=0.9176, ami=0.9350, time_cost=0.9306s

