
2022-12-13 23:29:32: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.7916, ari=0.3762, ami=0.7817, time_cost=3.0373s

2022-12-13 23:29:32: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.7916, ari=0.3762, ami=0.7817, time_cost=3.1158s

2022-12-13 23:29:32: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.7916, ari=0.3762, ami=0.7817, time_cost=3.1932s

2022-12-13 23:29:32: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.6783, ari=0.1997, ami=0.6656, time_cost=3.2725s

2022-12-13 23:29:33: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.4201, ari=0.0714, ami=0.4066, time_cost=3.3510s

2022-12-13 23:29:35: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.9893, ari=0.9857, ami=0.9885, time_cost=5.3074s

2022-12-13 23:29:35: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.9893, ari=0.9857, ami=0.9885, time_cost=5.4130s

2022-12-13 23:29:35: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.8244, ari=0.4201, ami=0.8161, time_cost=5.5109s

2022-12-13 23:29:35: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.8244, ari=0.4201, ami=0.8161, time_cost=5.5878s

2022-12-13 23:29:35: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.7425, ari=0.2637, ami=0.7312, time_cost=5.6788s

2022-12-13 23:29:35: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.6045, ari=0.1479, ami=0.5908, time_cost=5.7585s

2022-12-13 23:29:35: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.5192, ari=0.1058, ami=0.5052, time_cost=5.8528s

2022-12-13 23:29:35: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.3038, ari=0.0431, ami=0.2923, time_cost=5.9491s

2022-12-13 23:29:35: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.1659, ari=0.0196, ami=0.1585, time_cost=6.0314s

2022-12-13 23:29:35: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.1659, ari=0.0196, ami=0.1585, time_cost=6.1149s

2022-12-13 23:29:35: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.1659, ari=0.0196, ami=0.1585, time_cost=6.1972s

2022-12-13 23:29:36: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.1659, ari=0.0196, ami=0.1585, time_cost=6.2822s

2022-12-13 23:29:38: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=8.2918s

2022-12-13 23:29:38: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=8.4148s

2022-12-13 23:29:38: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.8377, ari=0.4796, ami=0.8302, time_cost=8.5148s

2022-12-13 23:29:38: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.8377, ari=0.4796, ami=0.8302, time_cost=8.6347s

2022-12-13 23:29:38: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.7425, ari=0.2637, ami=0.7312, time_cost=8.7287s

2022-12-13 23:29:38: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.7425, ari=0.2637, ami=0.7312, time_cost=8.8075s

2022-12-13 23:29:38: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.4201, ari=0.0714, ami=0.4066, time_cost=8.9008s

2022-12-13 23:29:38: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.4792, ari=0.1431, ami=0.4718, time_cost=8.9833s

2022-12-13 23:29:38: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.1633, ari=0.0196, ami=0.1559, time_cost=9.0751s

2022-12-13 23:29:38: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.1633, ari=0.0196, ami=0.1559, time_cost=9.1543s

2022-12-13 23:29:38: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.1633, ari=0.0196, ami=0.1559, time_cost=9.2544s

2022-12-13 23:29:39: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.1633, ari=0.0196, ami=0.1559, time_cost=9.3448s

2022-12-13 23:29:39: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.1633, ari=0.0196, ami=0.1559, time_cost=9.4270s

2022-12-13 23:29:39: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.1633, ari=0.0196, ami=0.1559, time_cost=9.4954s

