
2022-11-15 12:37:42: mnist_784 datasets process:  alg_name=WassDPC(out_out), shape=(70000, 784), n_clusters=10, k_neighbors=910, nmi=0.6227, ari=0.4324, ami=0.6226, time_cost=17.8782s

2022-11-15 12:38:05: mnist_784 datasets process:  alg_name=WassDPC(out_out), shape=(70000, 784), n_clusters=10, k_neighbors=980, nmi=0.5688, ari=0.3228, ami=0.5687, time_cost=23.4083s

2022-11-15 12:38:30: mnist_784 datasets process:  alg_name=WassDPC(out_out), shape=(70000, 784), n_clusters=10, k_neighbors=1050, nmi=0.6234, ari=0.3874, ami=0.6233, time_cost=24.2828s

2022-11-15 12:38:55: mnist_784 datasets process:  alg_name=WassDPC(out_out), shape=(70000, 784), n_clusters=10, k_neighbors=1120, nmi=0.6069, ari=0.3868, ami=0.6068, time_cost=25.4496s

2022-11-15 12:39:15: mnist_784 datasets process:  alg_name=WassDPC(out_out), shape=(70000, 784), n_clusters=10, k_neighbors=1190, nmi=0.6337, ari=0.4335, ami=0.6336, time_cost=19.5080s

2022-11-15 12:39:35: mnist_784 datasets process:  alg_name=WassDPC(out_out), shape=(70000, 784), n_clusters=10, k_neighbors=1260, nmi=0.6281, ari=0.4384, ami=0.6280, time_cost=19.9398s

2022-11-15 12:40:03: mnist_784 datasets process:  alg_name=WassDPC(out_out), shape=(70000, 784), n_clusters=10, k_neighbors=1330, nmi=0.6075, ari=0.3653, ami=0.6074, time_cost=28.1222s

2022-11-15 12:40:32: mnist_784 datasets process:  alg_name=WassDPC(out_out), shape=(70000, 784), n_clusters=10, k_neighbors=1400, nmi=0.5920, ari=0.3261, ami=0.5918, time_cost=29.0376s

2022-11-15 12:41:02: mnist_784 datasets process:  alg_name=WassDPC(out_out), shape=(70000, 784), n_clusters=10, k_neighbors=1470, nmi=0.6046, ari=0.3818, ami=0.6044, time_cost=29.1865s

2022-11-15 12:41:32: mnist_784 datasets process:  alg_name=WassDPC(out_out), shape=(70000, 784), n_clusters=10, k_neighbors=1540, nmi=0.6035, ari=0.3821, ami=0.6034, time_cost=29.6676s

2022-11-15 12:42:02: mnist_784 datasets process:  alg_name=WassDPC(out_out), shape=(70000, 784), n_clusters=10, k_neighbors=1610, nmi=0.6064, ari=0.3865, ami=0.6063, time_cost=30.3284s

2022-11-15 12:42:34: mnist_784 datasets process:  alg_name=WassDPC(out_out), shape=(70000, 784), n_clusters=10, k_neighbors=1680, nmi=0.6033, ari=0.3844, ami=0.6032, time_cost=31.6232s

2022-11-15 12:42:57: mnist_784 datasets process:  alg_name=WassDPC(out_out), shape=(70000, 784), n_clusters=10, k_neighbors=1750, nmi=0.6225, ari=0.4195, ami=0.6224, time_cost=23.5037s

2022-11-15 12:43:21: mnist_784 datasets process:  alg_name=WassDPC(out_out), shape=(70000, 784), n_clusters=10, k_neighbors=1820, nmi=0.6282, ari=0.4384, ami=0.6281, time_cost=23.3475s

2022-11-15 12:43:56: mnist_784 datasets process:  alg_name=WassDPC(out_out), shape=(70000, 784), n_clusters=10, k_neighbors=1890, nmi=0.6065, ari=0.3527, ami=0.6064, time_cost=35.1683s

2022-11-15 12:44:34: mnist_784 datasets process:  alg_name=WassDPC(out_out), shape=(70000, 784), n_clusters=10, k_neighbors=1960, nmi=0.5991, ari=0.3463, ami=0.5990, time_cost=37.1864s

2022-11-15 12:45:10: mnist_784 datasets process:  alg_name=WassDPC(out_out), shape=(70000, 784), n_clusters=10, k_neighbors=2029, nmi=0.6051, ari=0.3819, ami=0.6050, time_cost=36.1052s

2022-11-15 12:45:48: mnist_784 datasets process:  alg_name=WassDPC(out_out), shape=(70000, 784), n_clusters=10, k_neighbors=2100, nmi=0.6046, ari=0.3818, ami=0.6044, time_cost=38.0488s

2022-11-15 12:46:26: mnist_784 datasets process:  alg_name=WassDPC(out_out), shape=(70000, 784), n_clusters=10, k_neighbors=2170, nmi=0.6039, ari=0.3820, ami=0.6038, time_cost=37.6191s

2022-11-15 12:47:06: mnist_784 datasets process:  alg_name=WassDPC(out_out), shape=(70000, 784), n_clusters=10, k_neighbors=2240, nmi=0.6073, ari=0.3871, ami=0.6072, time_cost=39.7349s

2022-11-15 12:47:46: mnist_784 datasets process:  alg_name=WassDPC(out_out), shape=(70000, 784), n_clusters=10, k_neighbors=2310, nmi=0.6062, ari=0.3867, ami=0.6061, time_cost=39.8254s

2022-11-15 12:48:25: mnist_784 datasets process:  alg_name=WassDPC(out_out), shape=(70000, 784), n_clusters=10, k_neighbors=2380, nmi=0.6036, ari=0.3844, ami=0.6035, time_cost=39.4927s

2022-11-15 12:48:54: mnist_784 datasets process:  alg_name=WassDPC(out_out), shape=(70000, 784), n_clusters=10, k_neighbors=2450, nmi=0.6319, ari=0.4326, ami=0.6318, time_cost=29.0475s

