
2022-12-08 17:22:50: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=68, n_clusters=10, nmi=0.6164, ari=0.3959, ami=0.6163, time_cost=9.6901s

2022-12-08 17:23:00: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=69, n_clusters=10, nmi=0.6193, ari=0.3957, ami=0.6192, time_cost=9.3512s

2022-12-08 17:23:09: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=70, n_clusters=10, nmi=0.6263, ari=0.4067, ami=0.6262, time_cost=9.2379s

2022-12-08 17:23:18: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=71, n_clusters=10, nmi=0.6267, ari=0.4073, ami=0.6266, time_cost=9.0710s

2022-12-08 17:23:27: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=72, n_clusters=10, nmi=0.6262, ari=0.4063, ami=0.6261, time_cost=9.0365s

2022-12-08 17:23:36: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=73, n_clusters=10, nmi=0.6263, ari=0.4063, ami=0.6262, time_cost=8.8974s

2022-12-08 17:23:45: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=74, n_clusters=10, nmi=0.6312, ari=0.4029, ami=0.6311, time_cost=8.4906s

2022-12-08 17:23:54: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=75, n_clusters=10, nmi=0.6228, ari=0.3912, ami=0.6227, time_cost=8.4874s

2022-12-08 17:24:02: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=76, n_clusters=10, nmi=0.6228, ari=0.3912, ami=0.6227, time_cost=8.2488s

2022-12-08 17:24:10: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=77, n_clusters=10, nmi=0.6216, ari=0.3903, ami=0.6215, time_cost=8.0214s

2022-12-08 17:24:18: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=78, n_clusters=10, nmi=0.6255, ari=0.3976, ami=0.6254, time_cost=8.0038s

2022-12-08 17:24:26: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=79, n_clusters=10, nmi=0.6268, ari=0.4004, ami=0.6267, time_cost=8.0383s

2022-12-08 17:24:34: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=80, n_clusters=10, nmi=0.5973, ari=0.3513, ami=0.5972, time_cost=8.0257s

