
2022-11-13 10:46:40: phoneme datasets process:  alg_name=WassDPC(out), shape=(4509, 256), n_clusters=5, k_neighbors=153, nmi=0.8296, ari=0.7346, ami=0.8294, time_cost=0.4207s

2022-11-13 10:46:40: phoneme datasets process:  alg_name=WassDPC(out), shape=(4509, 256), n_clusters=5, k_neighbors=162, nmi=0.8130, ari=0.6864, ami=0.8128, time_cost=0.3633s

2022-11-13 10:46:41: phoneme datasets process:  alg_name=WassDPC(out), shape=(4509, 256), n_clusters=5, k_neighbors=171, nmi=0.8130, ari=0.6863, ami=0.8127, time_cost=0.3389s

2022-11-13 10:46:41: phoneme datasets process:  alg_name=WassDPC(out), shape=(4509, 256), n_clusters=5, k_neighbors=180, nmi=0.8126, ari=0.6852, ami=0.8124, time_cost=0.3374s

2022-11-13 11:02:17: phoneme datasets process:  alg_name=WassDPC(out), shape=(4509, 256), n_clusters=5, k_neighbors=189, nmi=0.5586, ari=0.3579, ami=0.5580, time_cost=936.0388s

2022-11-13 11:18:19: phoneme datasets process:  alg_name=WassDPC(out), shape=(4509, 256), n_clusters=5, k_neighbors=198, nmi=0.5543, ari=0.3516, ami=0.5538, time_cost=962.2348s

2022-11-13 11:35:12: phoneme datasets process:  alg_name=WassDPC(out), shape=(4509, 256), n_clusters=5, k_neighbors=207, nmi=0.5564, ari=0.3545, ami=0.5559, time_cost=1012.1529s

2022-11-13 11:52:52: phoneme datasets process:  alg_name=WassDPC(out), shape=(4509, 256), n_clusters=5, k_neighbors=216, nmi=0.5563, ari=0.3546, ami=0.5557, time_cost=1060.0967s

2022-11-13 11:52:52: phoneme datasets process:  alg_name=WassDPC(out), shape=(4509, 256), n_clusters=5, k_neighbors=225, nmi=0.8300, ari=0.7351, ami=0.8298, time_cost=0.4370s

2022-11-13 11:52:53: phoneme datasets process:  alg_name=WassDPC(out), shape=(4509, 256), n_clusters=5, k_neighbors=234, nmi=0.8130, ari=0.6863, ami=0.8127, time_cost=0.4137s

2022-11-13 11:52:53: phoneme datasets process:  alg_name=WassDPC(out), shape=(4509, 256), n_clusters=5, k_neighbors=243, nmi=0.8130, ari=0.6863, ami=0.8127, time_cost=0.3762s

2022-11-13 11:52:53: phoneme datasets process:  alg_name=WassDPC(out), shape=(4509, 256), n_clusters=5, k_neighbors=252, nmi=0.8127, ari=0.6856, ami=0.8125, time_cost=0.3754s

2022-11-13 11:52:54: phoneme datasets process:  alg_name=WassDPC(out), shape=(4509, 256), n_clusters=5, k_neighbors=261, nmi=0.8126, ari=0.6852, ami=0.8124, time_cost=0.3766s

2022-11-13 12:14:56: phoneme datasets process:  alg_name=WassDPC(out), shape=(4509, 256), n_clusters=5, k_neighbors=270, nmi=0.5586, ari=0.3579, ami=0.5580, time_cost=1322.5898s

2022-11-13 12:36:33: phoneme datasets process:  alg_name=WassDPC(out), shape=(4509, 256), n_clusters=5, k_neighbors=279, nmi=0.5543, ari=0.3516, ami=0.5538, time_cost=1296.8394s

2022-11-13 12:59:38: phoneme datasets process:  alg_name=WassDPC(out), shape=(4509, 256), n_clusters=5, k_neighbors=288, nmi=0.5548, ari=0.3522, ami=0.5543, time_cost=1384.5951s

2022-11-13 13:22:42: phoneme datasets process:  alg_name=WassDPC(out), shape=(4509, 256), n_clusters=5, k_neighbors=297, nmi=0.5564, ari=0.3545, ami=0.5559, time_cost=1384.4602s

2022-11-13 13:47:28: phoneme datasets process:  alg_name=WassDPC(out), shape=(4509, 256), n_clusters=5, k_neighbors=306, nmi=0.5563, ari=0.3546, ami=0.5557, time_cost=1485.6291s

2022-11-13 13:47:28: phoneme datasets process:  alg_name=WassDPC(out), shape=(4509, 256), n_clusters=5, k_neighbors=315, nmi=0.8296, ari=0.7346, ami=0.8294, time_cost=0.4762s

2022-11-13 13:47:29: phoneme datasets process:  alg_name=WassDPC(out), shape=(4509, 256), n_clusters=5, k_neighbors=324, nmi=0.8131, ari=0.6867, ami=0.8129, time_cost=0.4654s

2022-11-13 13:47:29: phoneme datasets process:  alg_name=WassDPC(out), shape=(4509, 256), n_clusters=5, k_neighbors=333, nmi=0.8130, ari=0.6863, ami=0.8127, time_cost=0.4717s

2022-11-13 13:47:30: phoneme datasets process:  alg_name=WassDPC(out), shape=(4509, 256), n_clusters=5, k_neighbors=342, nmi=0.8130, ari=0.6863, ami=0.8127, time_cost=0.4236s

