
2022-11-13 03:52:09: banknote datasets process:  alg_name=WassDPC(out), shape=(1372, 4), n_clusters=2, k_neighbors=75, nmi=0.1673, ari=0.0220, ami=0.1668, time_cost=18.8253s

2022-11-13 03:52:32: banknote datasets process:  alg_name=WassDPC(out), shape=(1372, 4), n_clusters=2, k_neighbors=82, nmi=0.1673, ari=0.0220, ami=0.1668, time_cost=22.4338s

2022-11-13 03:52:54: banknote datasets process:  alg_name=WassDPC(out), shape=(1372, 4), n_clusters=2, k_neighbors=89, nmi=0.1673, ari=0.0220, ami=0.1668, time_cost=22.5410s

2022-11-13 03:53:18: banknote datasets process:  alg_name=WassDPC(out), shape=(1372, 4), n_clusters=2, k_neighbors=96, nmi=0.1673, ari=0.0220, ami=0.1668, time_cost=23.6125s

2022-11-13 03:53:44: banknote datasets process:  alg_name=WassDPC(out), shape=(1372, 4), n_clusters=2, k_neighbors=102, nmi=0.0760, ari=-0.0099, ami=0.0753, time_cost=26.4576s

2022-11-13 03:53:57: banknote datasets process:  alg_name=WassDPC(out), shape=(1372, 4), n_clusters=2, k_neighbors=109, nmi=0.2211, ari=0.1332, ami=0.2206, time_cost=13.1779s

2022-11-13 03:54:03: banknote datasets process:  alg_name=WassDPC(out), shape=(1372, 4), n_clusters=2, k_neighbors=116, nmi=0.2069, ari=0.1310, ami=0.2064, time_cost=5.2351s

2022-11-13 03:54:03: banknote datasets process:  alg_name=WassDPC(out), shape=(1372, 4), n_clusters=2, k_neighbors=123, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0458s

2022-11-13 03:54:03: banknote datasets process:  alg_name=WassDPC(out), shape=(1372, 4), n_clusters=2, k_neighbors=130, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0461s

2022-11-13 03:54:03: banknote datasets process:  alg_name=WassDPC(out), shape=(1372, 4), n_clusters=2, k_neighbors=137, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0431s

2022-11-13 03:54:03: banknote datasets process:  alg_name=WassDPC(out), shape=(1372, 4), n_clusters=2, k_neighbors=144, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0431s

2022-11-13 03:54:03: banknote datasets process:  alg_name=WassDPC(out), shape=(1372, 4), n_clusters=2, k_neighbors=150, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0430s

2022-11-13 03:54:03: banknote datasets process:  alg_name=WassDPC(out), shape=(1372, 4), n_clusters=2, k_neighbors=157, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0429s

2022-11-13 03:54:03: banknote datasets process:  alg_name=WassDPC(out), shape=(1372, 4), n_clusters=2, k_neighbors=164, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0432s

2022-11-13 03:54:03: banknote datasets process:  alg_name=WassDPC(out), shape=(1372, 4), n_clusters=2, k_neighbors=171, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0433s

2022-11-13 03:54:03: banknote datasets process:  alg_name=WassDPC(out), shape=(1372, 4), n_clusters=2, k_neighbors=178, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0475s

2022-11-13 03:54:03: banknote datasets process:  alg_name=WassDPC(out), shape=(1372, 4), n_clusters=2, k_neighbors=185, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0439s

2022-11-13 03:54:03: banknote datasets process:  alg_name=WassDPC(out), shape=(1372, 4), n_clusters=2, k_neighbors=192, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0443s

2022-11-13 03:54:03: banknote datasets process:  alg_name=WassDPC(out), shape=(1372, 4), n_clusters=2, k_neighbors=198, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0440s

2022-11-13 03:54:03: banknote datasets process:  alg_name=WassDPC(out), shape=(1372, 4), n_clusters=2, k_neighbors=205, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0442s

2022-11-13 03:54:03: banknote datasets process:  alg_name=WassDPC(out), shape=(1372, 4), n_clusters=2, k_neighbors=212, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0443s

2022-11-13 03:54:03: banknote datasets process:  alg_name=WassDPC(out), shape=(1372, 4), n_clusters=2, k_neighbors=219, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0439s

2022-11-13 03:54:03: banknote datasets process:  alg_name=WassDPC(out), shape=(1372, 4), n_clusters=2, k_neighbors=226, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0439s

2022-11-13 03:54:03: banknote datasets process:  alg_name=WassDPC(out), shape=(1372, 4), n_clusters=2, k_neighbors=233, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0443s

2022-11-13 03:54:03: banknote datasets process:  alg_name=WassDPC(out), shape=(1372, 4), n_clusters=2, k_neighbors=240, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0444s

2022-11-13 03:54:04: banknote datasets process:  alg_name=WassDPC(out), shape=(1372, 4), n_clusters=2, k_neighbors=246, nmi=0.8593, ari=0.9060, ami=0.8592, time_cost=0.0444s

2022-11-13 03:54:04: banknote datasets process:  alg_name=WassDPC(out), shape=(1372, 4), n_clusters=2, k_neighbors=253, nmi=0.8593, ari=0.9060, ami=0.8592, time_cost=0.0451s

