
2022-12-09 03:20:20: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=14, n_clusters=15, nmi=0.9147, ari=0.8771, ami=0.9138, time_cost=0.0605s

2022-12-09 03:20:20: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=15, n_clusters=15, nmi=0.9196, ari=0.8874, ami=0.9188, time_cost=0.0628s

2022-12-09 03:20:20: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=16, n_clusters=15, nmi=0.9340, ari=0.9151, ami=0.9334, time_cost=0.0657s

2022-12-09 03:20:21: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=17, n_clusters=15, nmi=0.9295, ari=0.9043, ami=0.9289, time_cost=0.0687s

2022-12-09 03:20:21: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=18, n_clusters=15, nmi=0.9417, ari=0.9307, ami=0.9413, time_cost=0.0723s

2022-12-09 03:20:21: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=19, n_clusters=15, nmi=0.9403, ari=0.9277, ami=0.9398, time_cost=0.0757s

2022-12-09 03:20:21: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=20, n_clusters=15, nmi=0.9349, ari=0.9182, ami=0.9344, time_cost=0.0821s

2022-12-09 03:20:21: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=21, n_clusters=15, nmi=0.9421, ari=0.9313, ami=0.9416, time_cost=0.0843s

2022-12-09 03:20:21: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=22, n_clusters=15, nmi=0.9414, ari=0.9308, ami=0.9410, time_cost=0.1038s

2022-12-09 03:20:21: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=23, n_clusters=15, nmi=0.9437, ari=0.9346, ami=0.9433, time_cost=0.1086s

2022-12-09 03:20:21: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=24, n_clusters=15, nmi=0.9411, ari=0.9300, ami=0.9407, time_cost=0.0944s

2022-12-09 03:20:21: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=25, n_clusters=15, nmi=0.9437, ari=0.9336, ami=0.9433, time_cost=0.1038s

2022-12-09 03:20:22: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=26, n_clusters=15, nmi=0.9444, ari=0.9345, ami=0.9440, time_cost=0.1024s

2022-12-09 03:20:22: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=27, n_clusters=15, nmi=0.9434, ari=0.9329, ami=0.9430, time_cost=0.1109s

2022-12-09 03:20:22: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=28, n_clusters=15, nmi=0.9427, ari=0.9311, ami=0.9422, time_cost=0.1107s

2022-12-09 03:20:22: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=29, n_clusters=15, nmi=0.9435, ari=0.9328, ami=0.9431, time_cost=0.1333s

2022-12-09 03:20:22: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=30, n_clusters=15, nmi=0.9413, ari=0.9306, ami=0.9409, time_cost=0.1259s

2022-12-09 03:20:22: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=31, n_clusters=15, nmi=0.9427, ari=0.9326, ami=0.9422, time_cost=0.1237s

2022-12-09 03:20:22: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=32, n_clusters=15, nmi=0.9430, ari=0.9335, ami=0.9426, time_cost=0.1259s

2022-12-09 03:20:23: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=33, n_clusters=15, nmi=0.9434, ari=0.9340, ami=0.9429, time_cost=0.1326s

2022-12-09 03:20:23: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=34, n_clusters=15, nmi=0.9433, ari=0.9334, ami=0.9428, time_cost=0.1384s

2022-12-09 03:20:23: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=35, n_clusters=15, nmi=0.9436, ari=0.9340, ami=0.9432, time_cost=0.1488s

2022-12-09 03:20:23: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=36, n_clusters=15, nmi=0.9446, ari=0.9355, ami=0.9442, time_cost=0.1739s

